datetime,open,high,low,close,volume
2021.07.12 21:40:00,1.18609,1.18609,1.18606,1.18606,3.75
2021.07.12 21:41:00,1.18605,1.18607,1.18605,1.18605,5.59
2021.07.12 21:42:00,1.18606,1.18612,1.18606,1.18606,16.05
2021.07.12 21:43:00,1.18606,1.18608,1.18606,1.18606,8.25
2021.07.12 21:44:00,1.18607,1.18618,1.18607,1.18613,47.6
2021.07.12 21:45:00,1.18612,1.18616,1.18611,1.18616,41.25
2021.07.12 21:46:00,1.18616,1.18617,1.18615,1.18616,9
2021.07.12 21:47:00,1.18616,1.18617,1.18613,1.18613,12
2021.07.12 21:48:00,1.18614,1.18614,1.18613,1.18613,13.5
2021.07.12 21:49:00,1.18613,1.18614,1.18612,1.18612,5.25
2021.07.12 21:50:00,1.18613,1.18613,1.18613,1.18613,0.74
2021.07.12 21:51:00,1.18615,1.18616,1.18615,1.18615,3
2021.07.12 21:52:00,1.18615,1.18619,1.18615,1.18616,16.8
2021.07.12 21:53:00,1.18615,1.18619,1.18614,1.18614,7.35
2021.07.12 21:54:00,1.18613,1.18616,1.18613,1.18613,21.6
2021.07.12 21:55:00,1.18614,1.18617,1.18613,1.18613,8.85
2021.07.12 21:56:00,1.18611,1.18616,1.18611,1.18611,5.85
2021.07.12 21:57:00,1.18611,1.18619,1.18611,1.18619,9.78
2021.07.12 21:58:00,1.18618,1.18618,1.18612,1.18614,12.97
2021.07.12 21:59:00,1.18614,1.18616,1.18613,1.18613,13.35
2021.07.12 22:00:00,1.18614,1.18619,1.18608,1.18609,55.795
2021.07.12 22:01:00,1.1861,1.1862,1.1861,1.18616,34.625
2021.07.12 22:02:00,1.18616,1.18616,1.18616,1.18616,3.115
2021.07.12 22:03:00,1.18616,1.18618,1.18616,1.18616,5.31
2021.07.12 22:04:00,1.18617,1.18619,1.18617,1.18619,7.08
2021.07.12 22:05:00,1.1862,1.1862,1.18617,1.18617,3.015
2021.07.12 22:06:00,1.18617,1.18619,1.18616,1.18619,5.61
2021.07.12 22:07:00,1.18621,1.18624,1.18621,1.18624,10.88
2021.07.12 22:08:00,1.18622,1.18622,1.18622,1.18622,2.51
2021.07.12 22:09:00,1.18621,1.18621,1.1862,1.1862,7.31
2021.07.12 22:10:00,1.18621,1.18621,1.18617,1.18617,6.55
2021.07.12 22:11:00,1.18617,1.18617,1.18617,1.18617,0
2021.07.12 22:12:00,1.18617,1.18617,1.18611,1.18612,13.87
2021.07.12 22:13:00,1.18611,1.18611,1.18609,1.18609,16.17
2021.07.12 22:14:00,1.1861,1.1861,1.18609,1.1861,4.13
2021.07.12 22:15:00,1.18612,1.18617,1.18612,1.18617,3.75
2021.07.12 22:16:00,1.18617,1.18617,1.18616,1.18616,1.5
2021.07.12 22:17:00,1.18613,1.18614,1.18613,1.18614,1.5
2021.07.12 22:18:00,1.18617,1.18617,1.18617,1.18617,1.5
2021.07.12 22:19:00,1.18614,1.18617,1.18613,1.18617,3.75
2021.07.12 22:20:00,1.18618,1.18621,1.18618,1.1862,4.5
2021.07.12 22:21:00,1.18619,1.18626,1.18619,1.18626,10.5
2021.07.12 22:22:00,1.18628,1.18642,1.18628,1.18635,42.38
2021.07.12 22:23:00,1.18636,1.18641,1.1863,1.18636,84.12
2021.07.12 22:24:00,1.18637,1.1865,1.18634,1.1865,47.49
2021.07.12 22:25:00,1.18647,1.18652,1.18638,1.18652,45.54
2021.07.12 22:26:00,1.18651,1.18651,1.18644,1.18644,23.78
2021.07.12 22:27:00,1.18644,1.18644,1.1864,1.18642,23.24
2021.07.12 22:28:00,1.18641,1.18641,1.18634,1.18635,24.04
2021.07.12 22:29:00,1.18633,1.18643,1.18633,1.18641,24.75
2021.07.12 22:30:00,1.18639,1.18639,1.18632,1.18633,17.13
2021.07.12 22:31:00,1.18632,1.18633,1.18631,1.18631,9.9
2021.07.12 22:32:00,1.18631,1.18632,1.1863,1.18632,9.88
2021.07.12 22:33:00,1.18632,1.18632,1.18632,1.18632,0.75
2021.07.12 22:34:00,1.18631,1.18631,1.18627,1.1863,12.52
2021.07.12 22:35:00,1.1863,1.1863,1.1863,1.1863,0
2021.07.12 22:36:00,1.18629,1.18629,1.18624,1.18627,18.36
2021.07.12 22:37:00,1.18626,1.18626,1.18625,1.18625,4.49
2021.07.12 22:38:00,1.18625,1.18625,1.18625,1.18625,0
2021.07.12 22:39:00,1.18624,1.18624,1.18622,1.18622,3.82
2021.07.12 22:40:00,1.18622,1.18622,1.18622,1.18622,0
2021.07.12 22:41:00,1.18622,1.18622,1.18622,1.18622,0
2021.07.12 22:42:00,1.18623,1.18624,1.18622,1.18624,22.87
2021.07.12 22:43:00,1.18625,1.18625,1.18624,1.18624,5.25
2021.07.12 22:44:00,1.18625,1.18625,1.18623,1.18623,6.75
2021.07.12 22:45:00,1.18624,1.1863,1.18617,1.18627,41.33
2021.07.12 22:46:00,1.18626,1.1863,1.18626,1.1863,12.89
2021.07.12 22:47:00,1.1863,1.18632,1.1863,1.18631,2.25
2021.07.12 22:48:00,1.18631,1.18632,1.18631,1.18631,4.5
2021.07.12 22:49:00,1.18631,1.18631,1.18631,1.18631,0.75
2021.07.12 22:50:00,1.18631,1.18631,1.18631,1.18631,0.75
2021.07.12 22:51:00,1.18631,1.18631,1.18631,1.18631,0
2021.07.12 22:52:00,1.18631,1.18631,1.18631,1.18631,0
2021.07.12 22:53:00,1.1863,1.18631,1.1863,1.18631,2.25
2021.07.12 22:54:00,1.18632,1.18632,1.18629,1.1863,6
2021.07.12 22:55:00,1.18631,1.18633,1.18631,1.18633,3.75
2021.07.12 22:56:00,1.18633,1.18633,1.18632,1.18633,3.75
2021.07.12 22:57:00,1.18632,1.18632,1.18632,1.18632,0.75
2021.07.12 22:58:00,1.18632,1.18632,1.18632,1.18632,0
2021.07.12 22:59:00,1.18631,1.18631,1.18625,1.18625,3.85
2021.07.12 23:00:00,1.18627,1.18632,1.18627,1.18629,9.07
2021.07.12 23:01:00,1.18627,1.18631,1.18627,1.18631,3.19
2021.07.12 23:02:00,1.18631,1.18631,1.18631,1.18631,0.75
2021.07.12 23:03:00,1.18631,1.18631,1.18631,1.18631,0
2021.07.12 23:04:00,1.18631,1.18632,1.1863,1.18632,6.94
2021.07.12 23:05:00,1.18634,1.18635,1.1863,1.1863,22.71
2021.07.12 23:06:00,1.18631,1.18634,1.18631,1.18634,4.03
2021.07.12 23:07:00,1.18634,1.18634,1.18629,1.1863,9.01
2021.07.12 23:08:00,1.1863,1.1863,1.1863,1.1863,0
2021.07.12 23:09:00,1.18626,1.18626,1.18625,1.18625,8.25
2021.07.12 23:10:00,1.18627,1.18632,1.18627,1.18628,10.57
2021.07.12 23:11:00,1.18629,1.18632,1.18625,1.18625,10.18
2021.07.12 23:12:00,1.18626,1.18627,1.18625,1.18626,4.5
2021.07.12 23:13:00,1.18625,1.18629,1.18623,1.18625,16.66
2021.07.12 23:14:00,1.18625,1.18625,1.1862,1.18621,12.17
2021.07.12 23:15:00,1.18621,1.18621,1.18616,1.18616,35.4
2021.07.12 23:16:00,1.18617,1.18617,1.18607,1.1861,24.97
2021.07.12 23:17:00,1.18611,1.18618,1.1861,1.18618,15.09
2021.07.12 23:18:00,1.18617,1.18618,1.18616,1.18617,16.51
2021.07.12 23:19:00,1.18617,1.18618,1.18608,1.18612,45.58
2021.07.12 23:20:00,1.18611,1.18612,1.18607,1.18607,10.97
2021.07.12 23:21:00,1.18606,1.18606,1.18598,1.18604,17.56
2021.07.12 23:22:00,1.18604,1.18604,1.18593,1.18594,22.2
2021.07.12 23:23:00,1.18593,1.18597,1.18592,1.18596,13.68
2021.07.12 23:24:00,1.18596,1.18596,1.18586,1.18586,34.31
2021.07.12 23:25:00,1.18585,1.18591,1.18585,1.1859,21.45
2021.07.12 23:26:00,1.1859,1.18591,1.1859,1.1859,6
2021.07.12 23:27:00,1.18594,1.18597,1.18593,1.18597,11.25
